"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"895",25,17,1,236,45,14.75,311,75.88,0,0,19,2,27,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Gareth James Hopkins","New Zealand","Batting style Right-hand bat",NA
"896",25,12,5,38,13,5.42,58,65.51,0,0,3,0,9,0,25,25,1312,1117,32,34.9,5.1,41,2,0,0," Piyush Pramod Chawla","India","Batting style Left-hand bat","Bowling style Legbreak"
"897",127,126,8,4205,158,35.63,5195,80.94,6,27,454,25,57,0,127,1,6,3,0,NA,3,NA,0,0,0," Andrew John Strauss","England","Batting style Left-hand bat","Bowling style Left-arm medium"
"898",8,8,0,244,87,30.5,231,105.62,0,1,36,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Steven Michael Davies","England","Batting style Left-hand bat",NA
"899",28,24,8,326,60,20.37,472,69.06,0,2,20,1,10,0,28,28,1332,1075,21,51.19,4.84,63.4,0,0,0," Michael Howard Yardy","England","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"900",11,8,2,39,9,6.5,60,65,0,0,0,3,4,0,11,11,588,490,17,28.82,5,34.5,0,0,0," Ajmal Shahzad","England","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"901",15,11,4,50,19,7.14,89,56.17,0,0,2,2,4,0,15,15,784,705,15,47,5.39,52.2,1,0,0," Christopher Timothy Tremlett","England","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"902",35,7,5,25,11,12.5,29,86.2,0,0,3,1,8,0,35,34,1688,1461,62,23.56,5.19,27.2,2,0,0," Shaun William Tait","Australia","Batting style Right-hand bat","Bowling style Right-arm fast"
"903",68,62,9,1282,87,24.18,1670,76.76,0,3,141,6,71,8,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Matthew James Prior","England","Batting style Right-hand bat",NA
"904",197,181,37,5092,120,35.36,6614,76.98,5,26,365,74,108,0,197,151,5186,4294,111,38.68,4.96,46.7,3,1,0," Paul David Collingwood","England","Batting style Right-hand bat","Bowling style Right-arm medium"
"905",8,2,1,13,7,13,23,56.52,0,0,0,0,2,0,8,8,425,331,7,47.28,4.67,60.7,0,0,0," Jason John Krejza","Australia","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"906",53,42,11,862,105,27.8,1244,69.29,2,0,76,0,17,0,53,17,702,542,11,49.27,4.63,63.8,0,0,0," Thilan Thusara Samaraweera","Sri Lanka","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"907",268,251,40,8778,150,41.6,12408,70.74,11,59,722,85,73,0,268,28,740,636,14,45.42,5.15,52.8,0,0,0," Shivnarine Chanderpaul","West Indies","Batting style Left-hand bat","Bowling style Legbreak"
"908",10,8,0,59,24,7.37,89,66.29,0,0,4,1,3,0,10,10,474,448,12,37.33,5.67,39.5,1,0,0," Wandavasi Dorakanti Balaji Rao","Canada","Batting style Left-hand bat","Bowling style Legbreak googly"
"909",32,32,2,799,111,26.63,767,104.17,1,5,93,20,17,0,32,31,1435,1067,36,29.63,4.46,39.8,0,0,0," John Michael Davison","Canada","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"910",57,56,10,1097,77,23.84,1873,58.56,0,8,92,9,26,0,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Bastiaan Zuiderent","Netherlands","Batting style Right-hand bat","Bowling style Right-arm medium"
"911",7,5,2,16,9,5.33,27,59.25,0,0,0,2,3,0,7,7,280,287,6,47.83,6.15,46.6,0,0,0," Bernardus Pieters Loots","Netherlands","Batting style Right-hand bat","Bowling style Right-arm medium"
"912",79,62,19,391,36,9.09,621,62.96,0,0,24,10,17,0,79,79,3102,2350,78,30.12,4.54,39.7,1,1,0," Peter Jimmy Carter Ongondo","Kenya","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"913",5,3,0,32,15,10.66,50,64,0,0,3,0,5,0,5,5,184,131,3,43.66,4.27,61.3,0,0,0," Bradley Peter Kruger","Netherlands","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"914",17,11,2,140,34,15.55,179,78.21,0,0,15,0,17,3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Atse Folkert Buurman","Netherlands","Batting style Right-hand bat",NA
"915",21,12,2,28,8,2.8,139,20.14,0,0,2,0,3,0,21,21,846,690,17,40.58,4.89,49.7,1,0,0," Mohammad Adeel Khalid Raja","Netherlands","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"916",1,1,0,18,18,18,41,43.9,0,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Karl Whatham","Canada","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"917",8,7,0,179,59,25.57,251,71.31,0,2,21,3,5,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Dale Maurice Richards","West Indies","Batting style Right-hand bat","Bowling style Right-arm medium"
"918",20,12,2,141,38,14.1,219,64.38,0,0,10,0,7,0,20,17,624,526,14,37.57,5.05,44.5,0,0,0," David Eddison Bernard","West Indies","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"919",54,41,8,626,63,18.96,589,106.28,0,5,62,13,11,0,54,53,2348,2063,50,41.26,5.27,46.9,2,0,0," Arnoldus Mauritius Blignaut","Zimbabwe","Batting style Left-hand bat","Bowling style Right-arm medium-fast"
"920",1,1,0,1,1,1,7,14.28,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Naman Vinaykumar Ojha","India","Batting style Right-hand bat",NA
"921",1,1,1,3,3,NA,3,100,0,0,0,0,1,0,1,1,42,45,0,NA,6.42,NA,0,0,0," Pankaj Singh","India","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"922",38,27,6,392,54,18.66,424,92.45,0,1,32,9,4,0,38,38,1676,1393,50,27.86,4.98,33.5,0,1,0," Magina Thilan Thushara Mirando","Sri Lanka","Batting style Left-hand bat","Bowling style Left-arm fast-medium"
"923",38,16,7,34,6,3.77,100,34,0,0,2,0,5,0,38,36,1941,1524,46,33.13,4.71,42.1,0,0,0," Mohammad Asif","Pakistan","Batting style Left-hand bat","Bowling style Right-arm fast-medium"
